season,week,msi_rank,msi_pct,msi_ratio,msi_rank_norm,msi_pct_norm
1,2,959165.844665732,2017394.8286980577,0.4754477561959141,0.18600192815777677,0.3165315401688222
2,2,1851192.9875935526,1077345.5124187411,1.718290897631765,0.35898428514680175,0.16903673464849178
2,5,,1082596.6464187836,,,0.1698606435378285
3,2,2.69739191207613,7095.426912707708,0.000380159213146876,5.230796107196677e-07,0.0011132805422546408
3,5,3394.0240181782665,7084.146096830101,0.4791013584117032,0.000658170862844859,0.0011115105694296365
4,2,11.822793294833376,7098.40060714136,0.0016655573486425988,2.292682085459593e-06,0.0011137471182890817
4,5,6.743484568273638,160710.7623290267,4.196037944532646e-05,1.3076999553067195e-06,0.025215701159768386
4,8,5.3947932417231605,253544.92291333267,2.1277465072993086e-05,1.0461610476994716e-06,0.03978148640518509
5,3,5.394787462620323,59178.15835581092,9.116180044306143e-05,1.0461599270129118e-06,0.009285120266124592
5,6,29660.51289980167,7084.899842462747,4.186440677966102,0.005751781738469177,0.0011116288329755736
5,9,67521.92570322835,7075.267212335085,9.543374642516683,0.013093886154905242,0.0011101174623668994
6,4,2.9970961137953593,94259.92867817006,3.179607873488096e-05,5.811984018617681e-07,0.014789489878864994
6,7,60769.16264589708,7090.077773089336,8.571014957910446,0.011784386910284054,0.0011124412561724644
7,2,36724.99094217067,7077.516227460234,5.188965982116784,0.007121728911438873,0.0011104703353946776
7,6,3.853426095669226,265165.8458438117,1.4532135854098554e-05,7.472583472337406e-07,0.04160482241311052
7,9,6.743484756823628,105529.18313481996,6.39016104977181e-05,1.3076999918704293e-06,0.01655764870378862
8,4,2.4521755289471754,87658.45566003233,2.797420409113184e-05,4.7552712505567195e-07,0.013753711263747505
8,7,3.8534251294632313,116558.40331600382,3.306003702724147e-05,7.472581598665829e-07,0.0182881458782382
8,10,6.743498730715289,226015.10345865364,2.9836496001909535e-05,1.3077027016946034e-06,0.03546202646179719
9,4,23542.856681178077,7076.465592030404,3.326923076923077,0.004565442734845714,0.001110305489502327
9,7,3.853426142101905,80582.85080939815,4.781943184433096e-05,7.472583562379892e-07,0.012643540825547956
10,2,2.1947926222153824,7168.731874234555,0.00030616190711550814,4.2561530095016426e-07,0.001124782173984848
10,5,3.371722330146834,122613.29278391768,2.7498831925905826e-05,6.538461081654789e-07,0.019238164913464747
10,8,5.39478583213787,55895.66597508194,9.651527963801064e-05,1.0461596108289258e-06,0.008770093483025767
11,3,2.697397323640656,31996.5602975779,8.430272812308658e-05,5.230806601330114e-07,0.005020296655381563
11,6,3.853405129814204,7238.251679767186,0.0005323668339117694,7.472542815244773e-07,0.0011356899104400275
11,9,65567.4249179447,7085.561132797236,9.25366723807519,0.012714868369117279,0.0011117325901802103
12,4,55059.553246320604,7096.5148866539375,7.75867508569148,0.010677176553227297,0.001113451246602627
12,7,17111.908678084565,7073.220890757991,2.419252691576948,0.0033183500291263397,0.0011097963921870495
13,2,9.186187822815992,7105.238994114254,0.001292875275613604,1.7813902120948913e-06,0.0011148200689728095
13,5,3.3717295533898306,75221.23768212766,4.482417010523271e-05,6.538475089004324e-07,0.011802297635656588
13,8,5.3947931629368,191105.5978864272,2.8229383244665028e-05,1.0461610324211807e-06,0.029984685384027054
14,3,7073.325614317587,7073.325614317587,1.0,0.0013716628986193363,0.001109812823432505
14,6,13.486758301175602,109637.22991983178,0.00012301257803610418,2.6153590253109923e-06,0.01720220591066148
14,9,12608.000166380141,7075.149556172616,1.7820118241006604,0.0024449498011238557,0.0011100990019813632
15,4,25525.01169347955,7076.970833048607,3.6067707915766447,0.004949823242394086,0.0011103847623919832
15,9,49720.76586320304,7077.8030632965365,7.024886877828054,0.009641876190097346,0.0011105153402632083
16,5,7073.254077738593,7073.254077738593,1.0,0.0013716490262095744,0.001109801599262003
16,8,4.495660393196835,136416.52850706474,3.295539361979889e-05,8.718007486688345e-07,0.021403908277435157
17,2,16821.465140311982,7076.879329412014,2.376960854822093,0.003262027070644125,0.0011103704053674634
17,5,2.997107099709263,7107.792472976269,0.0004216649699754493,5.812005322557766e-07,0.0011152207127067403
17,9,4.495662231510021,7182.472872662195,0.0006259212267436935,8.718011051554619e-07,0.0011269381522464584
18,2,90734.45122722985,7166.559963079027,12.660809606656368,0.01759527090383837,0.0011244413986574852
18,7,3.853426143883859,55901.66172044889,6.893222894077711e-05,7.472583565835467e-07,0.00877103422228437
18,10,192371.78137345673,7097.867025574969,27.102759276879166,0.03730483362976613,0.001113663398735223
19,4,2.5655430073105228,7097.005614270894,0.0003614965447049449,4.975114040864961e-07,0.001113528242323142
19,8,3.853421968248761,114042.43623825608,3.378936907484367e-05,7.472575468422659e-07,0.017893387785868402
19,11,60.69182514629331,45168.204981096955,0.0013436846819946252,1.1769389583048933e-05,0.007086942667814052
20,4,18597.013028591457,7078.7949109682495,2.627143922445936,0.003606342219680259,0.0011106709622895337
20,7,3.8534258590589685,7148.983346294745,0.0005390173221002348,7.472583013501591e-07,0.0011216836075188632
21,2,12771.680818213306,7086.531127312871,1.8022471910112356,0.0024766908363289828,0.0011118847834215243
21,7,6.617680418302408,7075.0803257428715,0.00093535057039901,1.2833039505959243e-06,0.0011100881396482979
21,11,122573.83580131165,7085.192820885067,17.3,0.02376958054494122,0.001111674801622828
22,4,13.038451921145244,7094.236654752689,0.001837893568494125,2.528423224213801e-06,0.001113093789429492
22,8,25.677593479723356,7093.882496526852,0.00361968125244463,4.979411979942383e-06,0.001113038221601572
23,3,7063.9822591500715,7071.9355265571185,0.9988753761431817,0.0013698510304358663,0.0011095947170838955
23,7,16336.007350763568,7075.325686432423,2.308870018816143,0.0031678868493285033,0.001110126637019192
23,10,2370.287475055042,7074.567484000862,0.3350434468842722,0.0004596473520198286,0.001110007674196443
24,3,7071.505885830913,7071.505885830913,1.0,0.0013713100159462018,0.0011095273059659279
24,6,9.434562553312599,7116.230812569412,0.0013257808525052777,1.8295551660858635e-06,0.0011165446977739611
24,9,58.66435667031295,7103.700384256989,0.00825828138815133,1.1376221865590354e-05,0.0011145786593385074
25,5,30632.963301600277,7081.952673757808,4.3254967538982285,0.0059403598146989265,0.0011111664188580982
25,8,57445.52026510912,7079.079232973763,8.114829397237518,0.011139864490338098,0.0011107155727351583
26,2,3.3717396998414886,52869.18251918366,6.377514346127913e-05,6.538494765054956e-07,0.008295234791031805
27,3,55779.39102207815,7108.458732498404,7.846903684910809,0.010816767860607899,0.0011153252495825633
27,7,9.775606037771185,7097.21581366356,0.0013773860474907904,1.8956904919502355e-06,0.0011135612228466154
28,4,990509.9461061663,857758.1912439838,1.1547659424501167,0.19208019224184192,0.1345832345283154
28,9,,6373440.155828008,,,1.0
29,3,639828.2148430573,1529407.356356332,0.4183504232432799,0.12407581265785322,0.23996575145650495
29,6,896860.0756334412,728172.7112909879,1.231658453725058,0.17391956175596027,0.11425112552835871
29,9,1148455.0117061113,340706.42919849727,3.370805224919943,0.2227089796491276,0.05345722574753418
30,3,196390.39425238545,130075.77881640397,1.509815247999257,0.03808412508197678,0.020409037448552794
30,6,1275869.894827287,121789.67472818075,10.476010365204344,0.24741733855112294,0.019108938304977053
30,9,3571519.2844947465,3557295.330544427,1.0039985305206982,0.6925908351127923,0.558143678071812
31,4,726302.5957799323,368161.41113132256,1.9727830615057629,0.1408449685655203,0.05776494359873576
31,7,1897108.9428395892,242077.95684751653,7.836768649012379,0.3678883305279687,0.03798230640420391
32,2,305342.53011457523,368711.1954456788,0.8281346861342064,0.059212178650583355,0.0578512053821548
32,5,107677.13335466076,123014.17006183925,0.8753230079147097,0.02088080443424124,0.01930106301372462
32,9,1884403.856261635,607353.2418915408,3.102648880893182,0.3654245536805617,0.0952944135415101
33,4,356771.08780194033,196215.7145594329,1.8182595038476181,0.06918523069932164,0.030786468494571038
33,7,5156752.159322329,289078.84376894287,17.838566434297963,1.0,0.04535679895018753
34,4,271942.94213676086,48167.986561128484,5.645719523518937,0.05273531357235094,0.007557611805154028
34,8,1533309.5703042888,92189.41075750801,16.63216586053962,0.297340171280558,0.014464623265224836
