celebrity_name,ballroom_partner,season,placement,celebrity_age_during_season,star_power_index,industry_cluster,cluster,archetype,pca1,pca2
John O'Hurley,Charlotte Jorgensen,1,2,50,6.245223996359504,Entertainment,1,Underdogs,0.4195276297998237,0.28886405818794914
Kelly Monaco,Alec Mazo,1,1,29,3.457716057493392,Entertainment,0,Fast Learners,-1.2013879239610052,2.7951445167214675
Evander Holyfield,Edyta Sliwinska,1,5,42,21.877186359174207,Sports,3,Veteran Stars,1.0985196767450214,-2.140808739120195
Rachel Hunter,Jonathan Roberts,1,4,35,11.15005777387039,Media,1,Underdogs,-0.07194339987356288,0.3257355728091149
Joey McIntyre,Ashly DelGrosso,1,3,32,7.834506286437151,Entertainment,1,Underdogs,0.5504529672065132,-0.6142288229289653
Trista Sutter,Louis van Amstel,1,6,32,1.526551913354545,Entertainment,1,Underdogs,0.6537707421888771,0.2385516226471652
Tatum O'Neal,Nick Kosovich,2,9,42,18.909839198445766,Entertainment,3,Veteran Stars,1.1323580809138252,-4.919006726747515
Tia Carrere,Maksim Chmerkoskiy,2,6,39,12.80748226910681,Entertainment,0,Fast Learners,0.3963275051187775,-0.3976234008109499
George Hamilton,Edyta Sliwinska,2,5,66,0.0653582357231152,Entertainment,3,Veteran Stars,1.4831536791908506,0.7746671164658913
Lisa Rinna,Louis van Amstel,2,4,42,12.441949684045486,Entertainment,0,Fast Learners,0.17900848790446255,0.3082171467566624
Stacy Keibler,Tony Dovolani,2,3,26,9.080033397225863,Sports,2,Fast Learners,-1.2449296072215523,-0.6138566103323019
Jerry Rice,Anna Trebunskaya,2,2,43,16.321137899372776,Sports,2,Fast Learners,0.11265356781959604,-0.6823206122021517
Giselle Fernandez,Jonathan Roberts,2,8,44,0.0609090883072503,Media,1,Underdogs,0.5065916482055706,-1.2236874087785945
Master P,Ashly DelGrosso,2,7,35,9.339020609959896,Entertainment,3,Veteran Stars,0.9744483049161048,-0.02202218400149016
Drew Lachey,Cheryl Burke,2,1,29,2.985169768797843,Entertainment,1,Underdogs,-0.5009733232333133,-0.9413920736869075
Harry Hamlin,Ashly DelGrosso,3,9,54,13.74789153342858,Entertainment,0,Fast Learners,1.1894419449284852,1.289383510699893
Vivica A. Fox,Nick Kosovich,3,8,42,14.050901889014328,Entertainment,1,Underdogs,0.6916343330132906,-0.6454456810088268
Monique Coleman,Louis van Amstel,3,4,25,1.80520904097977,Entertainment,1,Underdogs,-0.7264915208847692,0.08011676222545001
Joey Lawrence,Edyta Sliwinska,3,3,30,14.4672484208779,Entertainment,1,Underdogs,-0.22328799809205974,-0.5951364491206874
Mario Lopez,Karina Smirnoff,3,2,32,34.266422752783775,Entertainment,0,Fast Learners,0.08655959861700523,-2.146576880066651
Emmitt Smith,Cheryl Burke,3,1,37,10.6084326174022,Sports,2,Fast Learners,-1.1954860693326261,-0.6536810245407625
Shanna Moakler,Jesse DeSoto,3,10,31,8.873265125214878,Media,1,Underdogs,-0.4309983577785525,1.9952640385060871
Willa Ford,Maksim Chmerkoskiy,3,7,25,2.053190468000873,Entertainment,1,Underdogs,-1.139056949253991,0.09250437146191869
Sara Evans,Tony Dovolani,3,6,35,6.066789768417974,Entertainment,1,Underdogs,-0.14408344178191176,1.5389167777262134
Jerry Springer,Kym Johnson,3,5,62,26.341554542514466,Entertainment,3,Veteran Stars,2.456317948629086,0.2169197495736411
John Ratzenberger,Edyta Sliwinska,4,6,59,13.067171978801245,Entertainment,3,Veteran Stars,1.858230213372427,0.15184316678123966
Ian Ziering,Cheryl Burke,4,4,42,3.2258920605614825,Entertainment,1,Underdogs,0.08660900349362598,-0.11198528681614157
Clyde Drexler,Elena Grinenko,4,8,44,5.446953283691949,Sports,2,Fast Learners,0.6615791608661943,-0.3132942190858206
Laila Ali,Maksim Chmerkoskiy,4,3,29,10.278727377321264,Sports,2,Fast Learners,-1.4967473893047036,-0.6059228987149484
Apolo Anton Ohno,Julianne Hough,4,1,24,0.2487099423874437,Sports,2,Fast Learners,-1.9082574943109512,-0.009787613133990554
Shandi Finnessey,Brian Fortuna,4,10,28,0.6596706642212834,Other,2,Fast Learners,-0.24877992838338855,0.168618381503922
Paulina Porizkova,Alec Mazo,4,11,41,9.351197223940158,Media,1,Underdogs,0.7559637165706096,0.5839529945287022
Heather Mills,Jonathan Roberts,4,7,39,15.884184790004143,Media,1,Underdogs,0.8011426579223309,-0.24769963190659075
Billy Ray Cyrus,Karina Smirnoff,4,5,45,15.638545019517707,Entertainment,3,Veteran Stars,1.491300720549202,0.645347418350148
Joey Fatone,Kym Johnson,4,2,30,7.54882418920793,Entertainment,1,Underdogs,-0.5596028691542964,-0.9473472858595651
Leeza Gibbons,Tony Dovolani,4,9,50,1.8656237795741464,Entertainment,0,Fast Learners,0.38599453134168626,1.2052211364467666
Cameron Mathison,Edyta Sliwinska,5,5,38,6.8889453777391205,Entertainment,1,Underdogs,0.18964456755889686,-0.29156714427771296
Jane Seymour,Tony Dovolani,5,6,56,48.91278188015766,Entertainment,3,Veteran Stars,2.716950045746736,-2.531733774776671
Sabrina Bryan,Mark Ballas,5,7,23,2.600201434498793,Entertainment,0,Fast Learners,-1.0976553416241357,-1.6426437670560476
Jennie Garth,Derek Hough,5,4,35,10.899968855968089,Entertainment,1,Underdogs,0.01405953427926378,-0.3879818137470558
Floyd Mayweather Jr. ,Karina Smirnoff,5,9,30,3.157047358442309,Sports,2,Fast Learners,-0.6632351658983767,0.7539613025806853
Albert Reed,Anna Trebunskaya,5,11,22,0.0082938672475682,Media,2,Fast Learners,-0.09899737024922739,-0.9896918763193782
Helio Castroneves,Julianne Hough,5,1,32,0.0566941065448519,Sports,2,Fast Learners,-1.3820349299606483,-0.8680136570583515
Mel B,Maksim Chmerkoskiy,5,2,32,19.50766411174593,Entertainment,1,Underdogs,0.14154528061543453,-1.3876611755534172
Wayne Newton,Cheryl Burke,5,10,65,18.196804783640044,Entertainment,3,Veteran Stars,2.4358209369235837,-0.9160555813765329
Marie Osmond,Jonathan Roberts,5,3,47,10.176162821102904,Entertainment,0,Fast Learners,0.6103832708621227,-0.6558742623553752
Mark Cuban,Kym Johnson,5,8,49,38.49568862004359,Entertainment,3,Veteran Stars,2.456496992598158,-1.6969032663354409
Cristian de la Fuente,Cheryl Burke,6,3,34,0.042878332990324,Entertainment,1,Underdogs,-0.5691689494807326,0.01677697217059729
Steve Guttenberg,Anna Trebunskaya,6,10,49,8.943514821254851,Entertainment,1,Underdogs,0.9640687556832602,0.6863028095240545
Priscilla Presley,Louis van Amstel,6,8,62,44.76500566030421,Entertainment,3,Veteran Stars,2.8908760014597163,-2.737899568222576
Marlee Matlin,Fabian Sanchez,6,7,42,8.50398588969809,Entertainment,1,Underdogs,0.8517346175799304,-1.19573988000818
Shannon Elizabeth,Derek Hough,6,6,34,20.169416248442474,Entertainment,0,Fast Learners,0.582469109860222,-1.053848404940355
Marissa Jaret Winokur,Tony Dovolani,6,4,35,2.7568582566679316,Entertainment,1,Underdogs,-0.2770350490803131,0.6279244051148812
Jason Taylor,Edyta Sliwinska,6,2,33,0.0122026323862026,Sports,2,Fast Learners,-1.170329783085196,-0.34647983370179447
Kristi Yamaguchi,Mark Ballas,6,1,36,2.807438037816712,Sports,2,Fast Learners,-1.06095877082853,-1.621368885884513
Monica Seles,Jonathan Roberts,6,11,34,7.143249277403821,Sports,2,Fast Learners,1.0761747789232026,-0.021749052125317744
Penn Jillette,Kym Johnson,6,12,53,8.496960920094093,Other,3,Veteran Stars,1.6797169159258925,0.5789654116828741
Adam Carolla,Julianne Hough,6,9,43,7.407856465821052,Other,0,Fast Learners,0.33562805576202737,1.1617677299383413
Mario,Karina Smirnoff,6,5,21,17.06250635824795,Entertainment,1,Underdogs,-0.47168342617526826,-1.5492077833496434
Cloris Leachman,Corky Ballas,7,7,82,16.67566469872117,Entertainment,3,Veteran Stars,2.848798688610024,0.6661374307877219
Susan Lucci,Tony Dovolani,7,6,61,10.70420636967003,Entertainment,3,Veteran Stars,1.7553922892237048,0.18807720962351998
Cody Linley,Julianne Hough,7,4,18,1.2666280380066466,Entertainment,1,Underdogs,-0.9981220679465781,-0.46146008520314924
Misty May-Treanor,Maksim Chmerkoskiy,7,10,31,1.1893533723626768,Sports,2,Fast Learners,-0.16207761448864696,-0.9207548446979289
Maurice Greene,Cheryl Burke,7,5,34,0.009050402435691,Sports,2,Fast Learners,-1.0969388865776708,0.356765858163757
Warren Sapp,Kym Johnson,7,2,35,7.147932590473153,Sports,2,Fast Learners,-0.6547683721677863,-0.5664375578421417
Toni Braxton,Alec Mazo,7,8,40,9.926542234507536,Entertainment,3,Veteran Stars,1.081548294962837,-1.5060625375473475
Lance Bass,Lacey Schwimmer,7,3,29,8.544730713401274,Entertainment,1,Underdogs,-0.6289810532404521,-0.3909317058543084
Kim Kardashian,Mark Ballas,7,11,27,100.0,Entertainment,3,Veteran Stars,4.914306282189319,-5.07139540442813
Rocco DiSpirito,Karina Smirnoff,7,9,41,1.0090458191934135,Entertainment,1,Underdogs,0.714324521118346,0.3179744866575072
Brooke Burke,Derek Hough,7,1,37,6.397665836766245,Entertainment,1,Underdogs,-0.2687645555108781,-1.1018022448408107
Gilles Marini,Cheryl Burke,8,2,33,1.8689020987226783,Entertainment,1,Underdogs,-0.32675290369371623,-0.9784438566790542
Denise Richards,Maksim Chmerkoskiy,8,12,38,32.362655990100514,Entertainment,3,Veteran Stars,1.9231911519113998,-1.7665368863462036
David Alan Grier,Kym Johnson,8,9,52,13.467361080575625,Entertainment,1,Underdogs,1.1005616021637015,0.22702093543851412
Lawrence Taylor,Edyta Sliwinska,8,7,50,13.761941472636572,Sports,3,Veteran Stars,1.0193792433283781,0.39058783037123823
Ty Murray,Chelsie Hightower,8,4,39,3.144870744462047,Sports,2,Fast Learners,-0.5572998028313338,1.3223271310810711
Shawn Johnson,Mark Ballas,8,1,17,0.5908259621021102,Sports,2,Fast Learners,-1.8228760525976997,-0.6849745143233671
Steve Wozniak,Karina Smirnoff,8,10,58,18.10594851009501,Other,3,Veteran Stars,1.9127575599183666,-0.09535118749472811
Belinda Carlisle,Jonathan Roberts,8,13,50,14.693452442126612,Entertainment,3,Veteran Stars,2.017498663733452,0.044044608315061885
Chuck Wicks,Julianne Hough,8,6,29,0.7645768769743092,Entertainment,1,Underdogs,-0.5717922746542812,0.10803191599116954
Lil' Kim,Derek Hough,8,5,34,9.947851308972991,Entertainment,1,Underdogs,0.08270033896702668,-0.5090657477122126
Steve-O,Lacey Schwimmer,8,8,34,9.55140885765408,Entertainment,1,Underdogs,0.9880404018026817,-0.18684753051061875
Holly Madison,Dmitry Chaplin,8,11,30,6.850542210570602,Entertainment,0,Fast Learners,0.7472724307692663,-0.9867515353570354
Melissa Rycroft,Tony Dovolani,8,3,26,1.2036374772241378,Entertainment,1,Underdogs,-0.8737423867031919,-0.8521045112565708
Debi Mazar,Maksim Chmerkoskiy,9,12,45,10.034726766409092,Entertainment,3,Veteran Stars,0.9572883319206554,-2.41766243027141
Melissa Joan Hart,Mark Ballas,9,9,33,18.02539552530251,Entertainment,1,Underdogs,-0.34507296009402105,-1.1862030549801381
Mark Dacascos,Lacey Schwimmer,9,6,45,7.945266640526841,Entertainment,0,Fast Learners,-1.5172407575862614,-1.5273769406170217
Chuck Liddell,Anna Trebunskaya,9,11,39,8.89504253098727,Sports,2,Fast Learners,-0.21588971905070112,-1.9492500743839634
Natalie Coughlin,Alec Mazo,9,10,27,0.6051100669635714,Sports,2,Fast Learners,-1.9262162389671569,-1.9837060950631538
Louie Vito,Chelsie Hightower,9,8,21,0.167454460634542,Sports,2,Fast Learners,-2.6870829059851338,-1.5105972318089917
Michael Irvin,Anna Demidova,9,7,43,7.43736133815784,Sports,2,Fast Learners,-0.5412313209115929,0.39139385819837375
Joanna Krupa,Derek Hough,9,4,30,2.8748777460150854,Media,1,Underdogs,-3.0538268089899976,-2.2823040961006518
Kathy Ireland,Tony Dovolani,9,14,46,3.862120141030167,Media,3,Veteran Stars,1.0364087945144858,-1.7591918247867584
Tom DeLay,Cheryl Burke,9,13,62,1.7497117811081917,Other,3,Veteran Stars,1.1263177146850796,-1.5780318565224285
Aaron Carter,Karina Smirnoff,9,5,21,28.66799030970489,Entertainment,1,Underdogs,-1.912965264498849,-3.2256448496439423
Mya,Dmitry Chaplin,9,2,29,9.632781422233716,Entertainment,1,Underdogs,-1.2623957109318533,-2.6503197450606937
Donny Osmond,Kym Johnson,9,1,51,9.632781422233716,Entertainment,0,Fast Learners,-0.5283643295406782,-2.0706490930426606
Kelly Osbourne,Louis van Amstel,9,3,24,6.435366506974363,Entertainment,1,Underdogs,-1.925340734354975,-2.2337794396318733
Aiden Turner,Edyta Sliwinska,10,9,32,0.701820481845267,Entertainment,1,Underdogs,0.3716944039493258,0.7785261293623376
Shannen Doherty,Mark Ballas,10,11,38,8.572830591817263,Entertainment,1,Underdogs,0.8080256641542686,0.6891110574886299
Niecy Nash,Louis van Amstel,10,5,40,8.572830591817263,Entertainment,0,Fast Learners,0.1761730776724093,0.20920163042762555
Chad Ochocinco,Cheryl Burke,10,4,32,0.1887635351000004,Sports,2,Fast Learners,-1.9582999389353266,1.1595814520575247
Evan Lysacek,Anna Trebunskaya,10,2,24,3.157047358442309,Sports,2,Fast Learners,-1.2723540515616192,-0.7774840912051331
Pamela Anderson,Damian Whitewood,10,6,42,6.714257800253056,Media,1,Underdogs,-0.3282013867567265,0.15309523205385064
Nicole Scherzinger,Derek Hough,10,1,31,9.632781422233716,Entertainment,0,Fast Learners,-1.1533884756795634,-1.1003857738553382
Erin Andrews,Maksim Chmerkoskiy,10,3,32,10.172182004993973,Sports,2,Fast Learners,-1.4962124114125872,-0.028501768100499595
Kate Gosselin,Tony Dovolani,10,8,35,6.435366506974363,Entertainment,3,Veteran Stars,1.3622600040551824,-0.23632808963461557
Jake Pavelka,Chelsie Hightower,10,7,32,6.435366506974363,Entertainment,0,Fast Learners,-0.1184886206227786,-0.10526403677663665
Florence Henderson,Corky Ballas,11,8,76,7.7251509262682605,Entertainment,3,Veteran Stars,2.684538842754364,0.27195362290982356
Kyle Massey,Lacey Schwimmer,11,2,19,8.572830591817263,Entertainment,1,Underdogs,-1.5365717513475152,-0.6176420711321133
Jennifer Grey,Derek Hough,11,1,50,8.572830591817263,Entertainment,1,Underdogs,0.32784679929945226,-0.7083909648290929
Rick Fox,Cheryl Burke,11,6,41,3.157047358442309,Sports,2,Fast Learners,-1.1258178324399752,0.18345558959124433
Kurt Warner,Anna Trebunskaya,11,5,39,38.819071387480925,Sports,3,Veteran Stars,0.9126637437792051,-0.9120527666881126
Margaret Cho,Louis van Amstel,11,10,41,6.031899086051454,Entertainment,0,Fast Learners,0.9416378925436688,1.0656945793569923
Michael Bolton,Chelsie Hightower,11,11,57,9.632781422233716,Entertainment,3,Veteran Stars,2.423637620212885,-2.170526049163819
Brandy,Maksim Chmerkoskiy,11,4,31,9.632781422233716,Entertainment,1,Underdogs,-1.2613175662211134,-0.2948524726705379
The Situation,Karina Smirnoff,11,9,28,0.0128704381386813,Entertainment,1,Underdogs,0.008378469353395934,0.42491052158662646
Audrina Patridge,Tony Dovolani,11,7,25,6.435366506974363,Entertainment,0,Fast Learners,-1.3922824893223156,0.8041425875813528
Bristol Palin,Mark Ballas,11,3,19,6.435366506974363,Entertainment,0,Fast Learners,-1.4144677965060144,0.42273456292338374
Ralph Macchio,Karina Smirnoff,12,4,49,8.572830591817263,Entertainment,1,Underdogs,0.7781571430923256,-1.1863947777129131
Chelsea Kane,Mark Ballas,12,3,22,3.127308320452054,Entertainment,0,Fast Learners,-2.138392377245244,0.4850627624909219
Kirstie Alley,Maksim Chmerkoskiy,12,2,60,8.572830591817263,Entertainment,1,Underdogs,0.8125239252137163,-0.36260456207242864
Hines Ward,Kym Johnson,12,1,35,3.157047358442309,Sports,2,Fast Learners,-1.004341548530111,0.05673209440725199
Sugar Ray Leonard,Anna Trebunskaya,12,9,54,3.157047358442309,Sports,2,Fast Learners,0.47908597470309194,1.1493120035677729
Chris Jericho,Cheryl Burke,12,7,40,16.178296850758162,Sports,2,Fast Learners,0.20137829050578895,-0.198027838369035
Petra Nemcova,Dmitry Chaplin,12,8,31,6.714257800253056,Media,1,Underdogs,-0.4108573895982893,0.6409102993837282
Mike Catherwood,Lacey Schwimmer,12,11,32,7.407856465821052,Other,0,Fast Learners,-0.26589527817107095,2.890845629759872
Romeo,Chelsie Hightower,12,5,21,9.632781422233716,Entertainment,1,Underdogs,-0.7076682163614532,-0.03800244122446428
Wendy Williams,Tony Dovolani,12,10,46,40.01074039797233,Entertainment,3,Veteran Stars,3.1647156353431627,-0.5544098459375555
Kendra Wilkinson,Louis van Amstel,12,6,25,6.435366506974363,Entertainment,0,Fast Learners,-0.5252593991354223,0.22795152657113896
Elisabetta Canalis,Valentin Chmerkovskiy,13,11,33,8.572830591817263,Entertainment,1,Underdogs,-0.5012622186773508,3.88389150558262
David Arquette,Kym Johnson,13,6,40,8.572830591817263,Entertainment,1,Underdogs,0.312220762966015,0.3914942763544773
Ricki Lake,Derek Hough,13,3,42,7.985777298576559,Entertainment,1,Underdogs,-0.17616601565682732,0.17072512948374796
J.R. Martinez,Karina Smirnoff,13,1,28,8.572830591817263,Entertainment,1,Underdogs,-0.6381198599426671,-0.5824669175641802
Hope Solo,Maksim Chmerkoskiy,13,4,30,3.157047358442309,Sports,2,Fast Learners,-1.2281645642023842,-0.28897098332885846
Chynna Phillips,Tony Dovolani,13,9,43,13.45237447875376,Entertainment,0,Fast Learners,0.5294018312879524,-1.0372938168548151
Kristin Cavallari,Mark Ballas,13,10,24,6.435366506974363,Entertainment,0,Fast Learners,-0.6818986120355917,0.8937116023554659
Carson Kressley,Anna Trebunskaya,13,8,41,6.435366506974363,Entertainment,1,Underdogs,0.7231080764583881,0.3369112570498054
Chaz Bono,Lacey Schwimmer,13,7,42,6.435366506974363,Entertainment,0,Fast Learners,0.794198826131377,0.3020241799130556
Nancy Grace,Tristan MacManus,13,5,51,12.65714791958127,Entertainment,3,Veteran Stars,1.4851835040063637,0.42754678131518564
Rob Kardashian,Cheryl Burke,13,2,24,6.435366506974363,Entertainment,0,Fast Learners,-1.108681042001202,1.0032387094006092
William Levy,Cheryl Burke,14,3,31,8.572830591817263,Entertainment,1,Underdogs,-1.0243296148673822,-0.7341397861123791
Jack Wagner,Anna Trebunskaya,14,11,52,8.572830591817263,Entertainment,1,Underdogs,1.09815975485444,-0.834789638344607
Sherri Sheperd,Valentin Chmerkovskiy,14,10,44,8.572830591817263,Entertainment,1,Underdogs,0.9516429978219237,-1.5345900683059914
Jaleel White,Kym Johnson,14,7,35,8.572830591817263,Entertainment,0,Fast Learners,-1.8065219188542476,-0.6964190740405551
Roshon Fegan,Chelsie Hightower,14,6,20,8.572830591817263,Entertainment,0,Fast Learners,-0.6489489047394033,-1.1682534643997309
Melissa Gilbert,Maksim Chmerkoskiy,14,5,47,8.572830591817263,Entertainment,0,Fast Learners,0.12050169652585309,0.10595400695821543
Martina Navratilova,Tony Dovolani,14,12,55,7.948779125328841,Sports,3,Veteran Stars,1.3222927058278735,-2.1976103348013716
Donald Driver,Peta Murgatroyd,14,1,37,3.157047358442309,Sports,2,Fast Learners,-1.2947062119862298,0.08218271982833934
Gavin DeGraw,Karina Smirnoff,14,9,35,9.632781422233716,Entertainment,1,Underdogs,0.45499748302322585,-0.7437134224561811
Gladys Knight,Tristan MacManus,14,8,67,9.632781422233716,Entertainment,3,Veteran Stars,1.5021243262579247,-0.7547667613120445
Katherine Jenkins,Mark Ballas,14,2,31,6.878407923333125,Entertainment,1,Underdogs,-1.381027308376061,-1.115685425566714
Maria Menounos,Derek Hough,14,4,33,6.435366506974363,Entertainment,1,Underdogs,-0.30791226712420455,-0.25049755507759613
Gilles Marini,Peta Murgatroyd,15,6,36,1.8689020987226783,Entertainment,1,Underdogs,-0.7837754292841009,-0.3631451064873748
Sabrina Bryan,Louis van Amstel,15,8,28,2.600201434498793,Entertainment,0,Fast Learners,-1.0668856951782284,-0.10291770449156555
Kirstie Alley,Maksim Chmerkoskiy,15,7,61,8.572830591817263,Entertainment,1,Underdogs,1.0616037120874842,0.6063317863158825
Kelly Monaco,Valentin Chmerkovskiy,15,3,36,3.457716057493392,Entertainment,1,Underdogs,-0.9354570760847077,0.06169179130336733
Apolo Anton Ohno,Karina Smirnoff,15,5,30,0.2487099423874437,Sports,2,Fast Learners,-1.9021998531578868,0.05510355373456014
Emmitt Smith,Cheryl Burke,15,4,43,10.6084326174022,Sports,2,Fast Learners,-1.0149984615831373,-0.6881610158991304
Shawn Johnson,Derek Hough,15,2,20,0.5908259621021102,Sports,2,Fast Learners,-2.4976995256862287,-0.009267579307073507
Helio Castroneves,Chelsie Hightower,15,10,37,0.0566941065448519,Sports,2,Fast Learners,-0.8355424946909095,0.6311178632540475
Joey Fatone,Kym Johnson,15,12,35,7.54882418920793,Entertainment,1,Underdogs,0.39110983351059986,0.2830815886786833
Drew Lachey,Anna Trebunskaya,15,11,36,2.985169768797843,Entertainment,1,Underdogs,0.25748128937942777,-0.1318963847183564
Bristol Palin,Mark Ballas,15,9,21,6.435366506974363,Entertainment,0,Fast Learners,-0.9097214887840588,0.41878469078850955
Melissa Rycroft,Tony Dovolani,15,1,29,1.2036374772241378,Entertainment,0,Fast Learners,-1.683315474876629,0.338603867953604
Ingo Rademacher,Kym Johnson,16,5,41,8.572830591817263,Entertainment,1,Underdogs,0.5898323007715303,-0.18533579747654902
Zendaya,Valentin Chmerkovskiy,16,2,16,8.572830591817263,Entertainment,0,Fast Learners,-1.1597017974682087,-1.2903939583506914
Dorothy Hamill,Tristan MacManus,16,12,56,8.141497458131832,Sports,3,Veteran Stars,1.0156771200166579,-3.8897749347843997
Victor Ortiz,Lindsay Arnold,16,8,26,3.157047358442309,Sports,2,Fast Learners,-0.7267738287299211,0.08067856085139706
Alexandra Raisman,Mark Ballas,16,4,18,3.157047358442309,Sports,2,Fast Learners,-2.089195446359367,-0.0023456593098663816
Jacoby Jones,Karina Smirnoff,16,3,28,3.157047358442309,Sports,2,Fast Learners,-1.322450678880746,0.0782776229951887
D. L. Hughley,Cheryl Burke,16,9,50,3.489094255057913,Entertainment,0,Fast Learners,0.9423183850280934,2.177885636591395
Andy Dick,Sharna Burgess,16,7,47,6.031899086051454,Entertainment,3,Veteran Stars,1.1642162528502213,0.05733811050846605
Wynonna Judd,Tony Dovolani,16,11,48,9.632781422233716,Entertainment,3,Veteran Stars,1.653632301979722,-1.2408315763247895
Kellie Pickler,Derek Hough,16,1,26,9.632781422233716,Entertainment,1,Underdogs,-0.4626460758083636,-0.48047069137478626
Lisa Vanderpump,Gleb Savchenko,16,10,52,11.86871216435931,Entertainment,3,Veteran Stars,1.8171509181161398,-0.20545472632039627
Sean Lowe,Peta Murgatroyd,16,6,29,6.435366506974363,Entertainment,0,Fast Learners,0.021569281449135037,-0.23977894324876706
Valerie Harper,Tristan MacManus,17,10,74,8.572830591817263,Entertainment,3,Veteran Stars,2.2932639318956998,-1.186414474778863
Brant Daugherty,Peta Murgatroyd,17,7,28,3.138782437471916,Entertainment,1,Underdogs,-1.103454147711435,-0.0997514734284195
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,17,6,39,8.572830591817263,Entertainment,1,Underdogs,-0.048593123913476595,-1.0147018588492744
Leah Remini,Tony Dovolani,17,5,43,8.572830591817263,Entertainment,1,Underdogs,0.39507482910891945,-0.4130238077549781
Corbin Bleu,Karina Smirnoff,17,2,24,8.572830591817263,Entertainment,1,Underdogs,-0.5608250769033692,-1.2251161874819185
Amber Riley,Derek Hough,17,1,27,4.968084522352803,Entertainment,0,Fast Learners,-1.4067642598419154,-1.47022906438983
Keyshawn Johnson,Sharna Burgess,17,12,41,3.157047358442309,Sports,2,Fast Learners,0.43633789712877263,0.46467257329754225
Bill Engvall,Emma Slater,17,4,56,6.031899086051454,Entertainment,3,Veteran Stars,1.2161552378560954,0.19756010226235263
Christina Milian,Mark Ballas,17,9,31,9.632781422233716,Entertainment,1,Underdogs,-0.17094026635817477,-0.4514306057530568
"Nicole ""Snooki"" Polizzi",Sasha Farber,17,8,25,0.0857306475747072,Entertainment,1,Underdogs,-1.3819729018310352,-0.0654695460627542
Jack Osbourne,Cheryl Burke,17,3,27,6.435366506974363,Entertainment,1,Underdogs,-0.6344743678788667,-0.7598927573993007
Bill Nye,Tyne Stecklein,17,11,57,6.435366506974363,Entertainment,3,Veteran Stars,1.9823063317317635,1.07479703611897
Billy Dee Williams,Emma Slater,18,10,76,8.572830591817263,Entertainment,3,Veteran Stars,3.650354512374976,0.254235851196725
Danica McKellar,Valentin Chmerkovskiy,18,6,39,29.59458380047213,Entertainment,0,Fast Learners,0.842930805287235,-1.79350900641025
James Maslow,Peta Murgatroyd,18,4,23,8.572830591817263,Entertainment,1,Underdogs,-0.5586828122409185,-0.5811864512854941
Candace Cameron Bure,Mark Ballas,18,3,37,8.572830591817263,Entertainment,0,Fast Learners,-0.4292694831839136,-1.2072235357249068
Sean Avery,Karina Smirnoff,18,11,33,3.157047358442309,Sports,2,Fast Learners,-0.054605127287705474,-0.05766939319148229
Charlie White,Sharna Burgess,18,5,26,3.157047358442309,Sports,2,Fast Learners,-1.5180543959296606,-1.525313276339582
Amy Purdy,Derek Hough,18,2,34,3.157047358442309,Sports,2,Fast Learners,-1.296251811013298,-0.7164143984567762
Meryl Davis,Maksim Chmerkoskiy,18,1,27,3.157047358442309,Sports,2,Fast Learners,-1.4226671342912236,-0.8414406037013257
Drew Carey,Cheryl Burke,18,8,55,15.59592687058679,Entertainment,3,Veteran Stars,1.6412789149411722,-0.6829333870368046
Cody Simpson,Witney Carson,18,9,17,9.632781422233716,Entertainment,1,Underdogs,-0.6042574396756212,-0.774506023984176
