celebrity_name,wiki_pageviews
John O'Hurley,954.3928571428571
Kelly Monaco,529.25
Evander Holyfield,3338.535714285714
Rachel Hunter,1702.4642857142858
Joey McIntyre,1196.7857142857142
Trista Sutter,234.71428571428572
Tatum O'Neal,2885.964285714286
Tia Carrere,1955.25
George Hamilton,11.857142857142858
Lisa Rinna,1899.5
Stacy Keibler,1386.75
Jerry Rice,2491.1428571428573
Giselle Fernandez,11.178571428571429
Master P,1426.25
Drew Lachey,457.17857142857144
Kenny Mayne,86.89285714285714
Harry Hamlin,2098.6785714285716
Vivica A. Fox,2144.8928571428573
Monique Coleman,277.2142857142857
Joey Lawrence,2208.3928571428573
Mario Lopez,5228.107142857143
Emmitt Smith,1619.857142857143
Shanna Moakler,1355.2142857142858
Willa Ford,315.0357142857143
Sara Evans,927.1785714285714
Jerry Springer,4019.4285714285716
Tucker Carlson,3340.035714285714
John Ratzenberger,1994.857142857143
Ian Ziering,493.89285714285717
Clyde Drexler,832.6428571428571
Laila Ali,1569.5714285714287
Apolo Anton Ohno,39.82142857142857
Shandi Finnessey,102.5
Paulina Porizkova,1428.107142857143
Heather Mills,2424.5
Billy Ray Cyrus,2387.035714285714
Joey Fatone,1153.2142857142858
Leeza Gibbons,286.42857142857144
Cameron Mathison,1052.5714285714287
Jane Seymour,7461.928571428572
Sabrina Bryan,398.4642857142857
Jennie Garth,1664.3214285714287
Floyd Mayweather Jr. ,
Josie Maran,696.6428571428571
Albert Reed,3.1538461538461537
Helio Castroneves,10.535714285714286
Mel B,2977.1428571428573
Wayne Newton,2777.214285714286
Marie Osmond,1553.9285714285713
Mark Cuban,5873.142857142857
Cristian de la Fuente,8.428571428571429
Steve Guttenberg,1365.9285714285713
Priscilla Presley,6829.321428571428
Marlee Matlin,1298.892857142857
Shannon Elizabeth,3078.0714285714284
Marissa Jaret Winokur,422.35714285714283
Jason Taylor,3.75
Kristi Yamaguchi,430.07142857142856
Monica Seles,1091.357142857143
Penn Jillette,1297.8214285714287
Adam Carolla,1131.7142857142858
Mario,2604.214285714286
Ted McGinley,4009.0714285714284
Cloris Leachman,2545.214285714286
Susan Lucci,1634.4642857142858
Cody Linley,195.07142857142858
Misty May-Treanor,183.28571428571428
Maurice Greene,3.269230769230769
Warren Sapp,1092.0714285714287
Jeffrey Ross,23.75
Toni Braxton,1515.857142857143
Lance Bass,1305.107142857143
Kim Kardashian,15253.607142857143
Rocco DiSpirito,155.78571428571428
Brooke Burke,977.6428571428571
Gilles Marini,286.92857142857144
Denise Richards,4937.75
David Alan Grier,2055.8928571428573
Lawrence Taylor,2100.8214285714284
Ty Murray,481.5357142857143
Shawn Johnson,92.0
Steve Wozniak,2763.3571428571427
Belinda Carlisle,2242.8928571428573
Chuck Wicks,118.5
Lil' Kim,1519.107142857143
Steve-O,1458.642857142857
Holly Madison,1046.7142857142858
Melissa Rycroft,185.46428571428572
Ashley Hamiliton,
Debi Mazar,1532.357142857143
Melissa Joan Hart,2751.0714285714284
Mark Dacascos,1213.6785714285713
Chuck Liddell,1358.5357142857142
Natalie Coughlin,94.17857142857143
Louie Vito,27.428571428571427
Michael Irvin,1136.2142857142858
Joanna Krupa,440.35714285714283
Kathy Ireland,590.9285714285714
Tom DeLay,268.75
Macy Gray,1132.0357142857142
Aaron Carter,4374.25
Mya,
Donny Osmond,
Kelly Osbourne,
Aiden Turner,108.92857142857143
Shannen Doherty,
Niecy Nash,
Buzz Aldrin,
Chad Ochocinco,30.678571428571427
Evan Lysacek,
Pamela Anderson,
Nicole Scherzinger,
Erin Andrews,1553.3214285714287
Kate Gosselin,
Jake Pavelka,
David Hasselhoff,
Florence Henderson,1180.107142857143
Kyle Massey,
Jennifer Grey,
Rick Fox,
Kurt Warner,5922.464285714285
Margaret Cho,
Michael Bolton,
Brandy,
The Situation,3.8518518518518516
Audrina Patridge,
Bristol Palin,
Ralph Macchio,
Chelsea Kane,478.85714285714283
Kirstie Alley,
Hines Ward,
Sugar Ray Leonard,
Chris Jericho,2469.3571428571427
Petra Nemcova,
Mike Catherwood,
Romeo,
Wendy Williams,6104.214285714285
Kendra Wilkinson,
Elisabetta Canalis,
David Arquette,
Ricki Lake,1219.857142857143
J.R. Martinez,
Metta World Peace (Ron),
Hope Solo,
Chynna Phillips,2053.6071428571427
Kristin Cavallari,
Carson Kressley,
Chaz Bono,
Nancy Grace,1932.3214285714287
Rob Kardashian,
William Levy,
Jack Wagner,
Sherri Sheperd,
Jaleel White,
Roshon Fegan,
Melissa Gilbert,
Martina Navratilova,1214.2142857142858
Donald Driver,
Gavin DeGraw,
Gladys Knight,
Katherine Jenkins,1050.9642857142858
Maria Menounos,
Ingo Rademacher,
Zendaya,
Dorothy Hamill,1243.607142857143
Victor Ortiz,
Alexandra Raisman,
Jacoby Jones,
D. L. Hughley,534.0357142857143
Andy Dick,
Wynonna Judd,
Kellie Pickler,
Lisa Vanderpump,1812.0714285714287
Sean Lowe,
Valerie Harper,
Brant Daugherty,480.60714285714283
Elizabeth Berkley Lauren,
Leah Remini,
Corbin Bleu,
Amber Riley,759.6071428571429
Keyshawn Johnson,
Bill Engvall,
Christina Milian,
"Nicole ""Snooki"" Polizzi",14.964285714285714
Jack Osbourne,
Bill Nye,
Billy Dee Williams,
Danica McKellar,4515.571428571428
James Maslow,
Candace Cameron Bure,
Sean Avery,
Diana Nyad,1073.4285714285713
Charlie White,
Amy Purdy,
Meryl Davis,
Drew Carey,2380.535714285714
Cody Simpson,
NeNe Leakes,
Antonio Sabato Jr.,
Jonathan Bennett,9.178571428571429
Lea Thompson,
Janel Parrish,
Alfonso Ribeiro,
Lolo Jones,257.07142857142856
Randy Couture,
Tommy Chong,
Betsey Johnson,
Michael Waltrip,222.89285714285714
Tavis Smiley,
Bethany Mota,
Sadie Robertson,
Suzanne Somers,1995.1785714285713
Willow Shields,
Riker Lynch,
Rumer Willis,
Nastia Liukin,233.5
Michael Sam,
Robert Herjavec,
Charlotte McKinney,
Noah Galloway,46.25
Redfoo,
Patti LaBelle,
Chris Soules,
Gary Busey,3883.3571428571427
Alexa PenaVega,
Carlos PenaVega,
Victor Espinoza,
Alek Skarlatos,308.2857142857143
Chaka Khan,
Andy Grammer,
Tamar Braxton,
Nick Carter,3231.25
Hayes Grier,
Bindi Irwin,
Kim Zolciak-Biermann,
Paula Deen,983.3928571428571
Mischa Barton,
Kim Fields,
Jodie Sweetin,
Doug Flutie,3774.5714285714284
Von Miller,
Antonio Brown,
Paige VanZant,
Geraldo Rivera,1490.5357142857142
Nyle DiMarco,
Ginger Zee,
Wanya Morris,
Marla Maples,5911.107142857143
Jake T. Austin,
Maureen McCormick,
Marilu Henner,
Ryan Lochte,461.9642857142857
Calvin Johnson Jr.,
Laurie Hernandez,
Amber Rose,
Rick Perry,908.6071428571429
James Hinchcliffe,
Babyface,
Vanilla Ice,
Jana Kramer,3744.5
Terra Jole,
Charo,
Mr. T,
Heather Morris,608.5714285714286
Nancy Kerrigan,
Bonner Bolton,
Simone Biles,
David Ross,7.928571428571429
Rashad Jennings,
Chris Kattan,
Erika Jayne,
Normani,1058.7142857142858
Nick Viall,
Sasha Pieterse,
Frankie Muniz,
Jordan Fisher,1309.392857142857
Derek Fisher,
Nikki Bella,
Terrell Owens,
Victoria Arlen,410.35714285714283
Barbara Corcoran,
Lindsey Stirling,
Debbie Gibson,
Nick Lachey,3942.3571428571427
Drew Scott,
Vanessa Lachey,
Jamie Anderson,
Johnny Damon,719.8214285714286
Kareem Abdul-Jabbar,
Arike Ogunbowale,
Jennie Finch Daigle,
Chris Mazdzer,19.5
Mirai Nagasu,
Tonya Harding,
Josh Norman,
Adam Rippon,273.64285714285717
Juan Pablo Di Pace,
Evanna Lynch,
Nancy McKeon,
John Schneider,14.214285714285714
Milo Manheim,
Danelle Umstead,
Mary Lou Retton,
DeMarcus Ware,483.39285714285717
Nikki Glaser,
Bobby Bones,
Tinashe,
Alexis Ren,846.0357142857143
Joe Amabile,
Kate Flannery,
James Van Der Beek,
Kel Mitchell,834.7857142857143
Ray Lewis,
Lamar Odom,
Sailor Brinkley-Cook,
Sean Spicer,1104.1785714285713
Mary Wilson,
Lauren Alaina,
Ally Brooke,
Karamo Brown,2263.1428571428573
Hannah Brown,
Anne Heche,
Jesse Metcalfe,
Chrishell Stause,2522.6428571428573
Skai Jackson,
Justina Machado,
Charles Oakley,
Veron Davis,
Johnny Weir,
Nev Schulman,
AJ McLean,
Nelly,3279.25
Kaitlyn Bristowe,
Carole Baskin,
Monica Aldama,
Jeannie Mai,687.3214285714286
Martin Kove,
Brian Austin Green,
Melora Hardin,
Matt James,2.72
"Mike ""The Miz"" Mizanin",
Suni Lee,
Iman Shumpert,
Cody Rigsby,142.21428571428572
Melanie C,
Jimmie Allen,
Olivia Jade,
JoJo Siwa,4716.964285714285
Christine Chiu,
Kenya Moore,
Amanda Kloots,
Jason Lewis,5.535714285714286
Cheryl Ladd,
Selma Blair,
Joseph Baena,
Trevor Donovan,1497.0714285714287
Daniel Durant,
Wayne Brady,
Sam Champion,
Jessie James Decker,453.0357142857143
Jordin Sparks,
Heidi D'Amelio,
Charli D'Amelio,
Teresa Giudice,1031.5
Vinny Guadagnino,
Shangela,
Gabby Windey,
Jamie Lynn Spears,2329.3928571428573
Mira Sorvino,
Barry Williams,
Alyson Hannigan,
Xochitl Gomez,1078.6785714285713
Adrian Peterson,
Matt Walsh,
Tyson Beckford,
Jason Mraz,854.9285714285714
Lele Pons,
Harry Jowsey,
Mauricio Umansky,
Charity Lawson,18.142857142857142
Ariana Madix,
Tori Spelling,
Eric Roberts,
Reginald VelJohnson,4202.607142857143
Chandler Kinney,
Dwight HowardÂ ,
Danny Amendola,
Stephen Nedoroscik,878.6071428571429
Ilona Maher,
Anna Delvey,
Brooks Nader,
Phaedra Parks,772.4642857142857
Jenn Tran,
Joey Graziadei,
Corey Feldman,
Danielle Fishel,2335.6071428571427
Elaine Hendrix,
Baron Davis,
Jordan Chiles,
Andy Richter,1309.6785714285713
Robert Irwin,
Hilaria Baldwin,
Lauren Jauregui,
Scott Hoying,3730.964285714286
Alix Earle,
Jen Affleck,
Whitney Leavitt,
Dylan Efron,1.8888888888888888
